fold,acc,prec,rec,spec,f1,auc
1,0.9992254066615027,1.0,0.9990884229717412,1.0,0.9995440036479708,1.0
2,0.9984508133230054,0.9990884229717412,0.9990884229717412,0.9948453608247423,0.9990884229717412,0.9999107218374386
3,0.9984496124031008,1.0,0.9981768459434822,1.0,0.9990875912408759,0.999891366468135
4,0.993798449612403,0.999083409715857,0.9936189608021878,0.9948186528497409,0.9963436928702011,0.9999669376207367
5,0.9976744186046511,1.0,0.9972627737226277,1.0,0.9986295111923252,0.9999435623447964
