name,n_total,n_tumor,n_normal,acc,prec,rec,spec,f1,auc
Figshare,3064,3064,0,1.0,1.0,1.0,nan,1.0,nan
BraTS 2021,3388,2420,968,0.9988193624557261,0.9991735537190083,0.9991735537190083,0.9979338842975206,0.9991735537190083,0.999818147667509
TCGA-LGG (NIH),3929,1373,2556,0.3497073046576737,0.3495417515274949,1.0,0.0003912363067292645,0.5180154687794756,0.4109826271703214
